Contig	AWG0_V	AWG10_V	AWG1_V	AWG2_V	AWG3_V	AWG5_V	AWG6_V	AYW2_V	AYW6_V	AZB1_V	AZB2_V	AZB4_V	AZC1_V	AZC3_V	AZC5_V	AZE2_V	AZE7_V	AZJ10_V	AZJ1_V	AZJ6_V	AZK1_V	AZK4_V	AZO8_V	AZO9_V	AZP1_V	AZP2_V	AZR1_V	AZS0_V	AZS1_V	AZS2_V	AZT2_V	AZV1_V	AZX1_V	AZX2_V	AZX4_V	BAC3_V	BAC7_V	BAD1_V	BAD2_V	BAF1_V	BAF2_V	BAF3_V	BAF7_V	BAF8_V	BAH14_V	BAH1_V	BAH4_V	BAJ2_V	BAJ6_V	BAL2_V	BAL6_V	BAM1_V	BAM2_V	BAM4_V	BAM6_V	BAO5_V	BAO6_V	BAS3_V	BAT4_V	BAW0_V	BAW1_V	BAW4_V	BAW5_V	BAW6_V	BAX1_V	BAX2_V	BAX3_V	BAX4_V	BAX6_V	BAY1_V	BAY4_V	BAY6_V	BAY9_V	BBD0_V	BBD1_V	BBD2_V	BBD6_V	BBF1_V	BBF6_V	BBF8_V	BBN1_V	BBN3_V	BBN6_V	BCL5_V	BCL6_V	G01M_8068_V	G01M_8190_V	G01M_8193_V	G01M_8197_V	G01M_8337_V	G01M_8340_V	G01M_8349_V	G01M_8363_V	G01M_8393_V	G01M_8394_V	G01M_8396_V	G01M_8399_V	G01M_8405_V	G01M_8414_V	G01M_8418_V	G01M_8519_V	G01M_8520_V	G01M_8528_V	G01M_8533_V	G01M_8588_V	G01M_8590_V	G01M_8597_V	G01M_8653_V	G01M_8658_V	G01M_8661_V	G01M_8755_V	G01M_8757_V	G01M_8768_V	G01M_8870_V	G01M_8873_V	G03J_7869_V4	G03J_7872_V1	G03J_7875_V2	G03J_7879_V5	G03J_7944_V3	G05A_8347_V6	G18F_V10	G18F_V11	G18F_V12	G18F_V14	G18F_V17	G18F_V18	G18F_V20	G18F_V2	G18F_V6	G18F_V9	G21F_7876_V1	G21F_7878_V2	G21F_7881_V3	G21F_7946_V4	G21F_7947_V5	G23J_7924V	G23J7927V1	G23J7928V2	G23J_7933V	G23J_7936V	G23J_7937V	G23J_7940V	G23J_7943V	G23J_8030V	G23J_8060V	G23J_8062V	G23J_8064V	G23J_8066V	G23J_8067V	G23J_8195V	G23J_8196V	G23J_8200V	MixLL9_V2	MixMB4_V11	MixMB6_V12	MixMS12_V7	MixMS20_V8	MixRN4_V3	MixRN7_V4	MixSK11_V6	MixSK5_V5	MixSR5_V9
G23J_7940V__10068	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	37	0	0	0	0	0	0	776	0	0	1	0	16	0	0	0	0	0	8	0	0	0	0	0	5	0	0	11
VC_551_0	2	0	14	0	0	0	0	0	0	54	53	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	54	10091	0	0	0	868	0	0	0	0	0	0	0	63	0	24	128	0	0	0	0	8	0	2675	13	45	0	0	0	3	3911	3492	2	0	0	0	672	42	0	0	0	1	87	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	12	24	59	0	0	2	19	30	20	0	0	14	68	271	0	15	31	0	0	0	0	0	0	0	0	0	0	0	0
AZX2_V__5888	0	0	0	0	0	0	0	8	0	64	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	824	183	10	9	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1430	460	14	0	0	0	0	18	21	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	3	76	68	396	3	16	724	0	1316	0	0	19	0	0	0	0	0	0	0	0	8	0	0	0
G01M_8653_V__2866	0	10	0	0	0	0	0	0	0	0	10	0	29	10	6	0	0	0	1	0	25	0	756	463	0	0	0	0	0	0	60	85	0	0	0	0	14	2	0	0	0	0	0	0	7	43	0	0	0	0	7	99	1	0	5	0	0	0	0	4	0	0	0	0	12	4	0	3	0	5	0	0	0	3	0	0	8	0	0	17	0	0	0	0	0	0	0	0	50	11	0	0	0	8	0	73	3	0	0	2	6	28	1	0	0	18	0	4210	4	0	0	1	0	0	1	0	0	15	0	0	0	0	1	0	0	0	2	0	0	0	0	125	50	10	23	173	7	0	0	0	41	24	3	1	0	0	1	9	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0
G03J_7869_V4__4601	0	0	0	0	0	0	0	0	0	12	317	0	0	0	9	4	8	0	0	0	0	0	274	328	1	0	1	0	0	0	15	544	0	0	0	10	3	0	0	580	0	1	0	0	0	3	5	0	3	0	0	58	38	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	4	23	17	0	0	0	0	10	2	0	0	2	17	0	0	0	0	1	252	412	1020	0	0	0	0	0	88	0	0	0	126	127	19	0	0	0	6	0	58	0	0	0	0	94	0	0	1369	351	147	230	663	0	0	0	0	0	0	0	0	0	4	24	98	146	1	54	118	4	0	0	0	4	2	41	4	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
VC_1325_0	2	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	4	0	80	501	0	4	0	0	0	442	98	0	0	0	1	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	93	0	0	2	0	0	0	26	117	1	9	0	3	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
BAX4_V__9389	78	0	4	0	0	0	0	0	0	72	20	0	0	0	0	202	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2	0	0	0	0	0	0	0	544	2	163	0	124	0	0	0	0	0	0	0	0	0	147	141	0	0	0	12	10	104	1871	44	28	2	0	0	60	4168	957	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	40	113	1	8	21	0	0	17	28	165	14	0	6	12	116	492	18	12	1	0	0	0	0	0	0	0	0	0	0	0	8
VC_48_1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	125	0	199	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	59	0	0	0	0	878	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
BAY1_V__82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC3_V__1434	55	125	10	0	0	0	0	0	0	58	259	2	153	5	4	19	2	8	0	0	21	0	0	0	0	65	0	0	12	28	4	12	2	5	2	8131	1587	0	2	0	1	0	0	0	0	62	7	4	0	16	4	16	42	0	0	0	0	74	0	12	63	0	0	0	2	4	0	0	4	657	1041	153	2	4	31	11	15	2	0	0	0	0	0	0	0	0	1	51	119	10	0	7031	0	2	0	141	2	0	0	556	25	32	0	0	9896	14	0	977	0	0	0	0	7	0	0	28	0	0	0	2	0	0	0	0	0	6	5	0	0	0	4	156	218	34	101	1539	16	2	0	2	181	785	15	6	0	18	17	63	0	0	8	0	0	0	0	3	1	0	0	108	0	0	0
