Contig	AWG0_V	AWG10_V	AWG1_V	AWG2_V	AWG3_V	AWG5_V	AWG6_V	AYW2_V	AYW6_V	AZB1_V	AZB2_V	AZB4_V	AZC1_V	AZC3_V	AZC5_V	AZE2_V	AZE7_V	AZJ10_V	AZJ1_V	AZJ6_V	AZK1_V	AZK4_V	AZO8_V	AZO9_V	AZP1_V	AZP2_V	AZR1_V	AZS0_V	AZS1_V	AZS2_V	AZT2_V	AZV1_V	AZX1_V	AZX2_V	AZX4_V	BAC3_V	BAC7_V	BAD1_V	BAD2_V	BAF1_V	BAF2_V	BAF3_V	BAF7_V	BAF8_V	BAH14_V	BAH1_V	BAH4_V	BAJ2_V	BAJ6_V	BAL2_V	BAL6_V	BAM1_V	BAM2_V	BAM4_V	BAM6_V	BAO5_V	BAO6_V	BAS3_V	BAT4_V	BAW0_V	BAW1_V	BAW4_V	BAW5_V	BAW6_V	BAX1_V	BAX2_V	BAX3_V	BAX4_V	BAX6_V	BAY1_V	BAY4_V	BAY6_V	BAY9_V	BBD0_V	BBD1_V	BBD2_V	BBD6_V	BBF1_V	BBF6_V	BBF8_V	BBN1_V	BBN3_V	BBN6_V	BCL5_V	BCL6_V	G01M_8068_V	G01M_8190_V	G01M_8193_V	G01M_8197_V	G01M_8337_V	G01M_8340_V	G01M_8349_V	G01M_8363_V	G01M_8393_V	G01M_8394_V	G01M_8396_V	G01M_8399_V	G01M_8405_V	G01M_8414_V	G01M_8418_V	G01M_8519_V	G01M_8520_V	G01M_8528_V	G01M_8533_V	G01M_8588_V	G01M_8590_V	G01M_8597_V	G01M_8653_V	G01M_8658_V	G01M_8661_V	G01M_8755_V	G01M_8757_V	G01M_8768_V	G01M_8870_V	G01M_8873_V	G03J_7869_V4	G03J_7872_V1	G03J_7875_V2	G03J_7879_V5	G03J_7944_V3	G05A_8347_V6	G18F_V10	G18F_V11	G18F_V12	G18F_V14	G18F_V17	G18F_V18	G18F_V20	G18F_V2	G18F_V6	G18F_V9	G21F_7876_V1	G21F_7878_V2	G21F_7881_V3	G21F_7946_V4	G21F_7947_V5	G23J_7924V	G23J7927V1	G23J7928V2	G23J_7933V	G23J_7936V	G23J_7937V	G23J_7940V	G23J_7943V	G23J_8030V	G23J_8060V	G23J_8062V	G23J_8064V	G23J_8066V	G23J_8067V	G23J_8195V	G23J_8196V	G23J_8200V	MixLL9_V2	MixMB4_V11	MixMB6_V12	MixMS12_V7	MixMS20_V8	MixRN4_V3	MixRN7_V4	MixSK11_V6	MixSK5_V5	MixSR5_V9
G23J_7940V__6341	55	7	6	0	0	0	1	29	0	44	527	0	5	118	31	244	108	2	77	10	180	0	2	1	627	155	0	0	668	103	13	14	0	0	7	4234	847	13	60	245	3	36	13	0	1399	1091	372	5	13	71	74	59	58	14	19	34	0	6662	0	75	67	132	27	0	1493	1201	4	2482	581	610	345	138	0	252	94	235	107	206	0	418	42	22146	5	0	0	1390	125	409	297	714	325	142772	0	34	0	286	45	6	0	7644	2942	2247	0	16	39423	153	0	276	0	3	0	0	309	1	2	157	2	108	51	124	0	10	11	24	13	91	69	0	0	2	130	5792	1030	162	177	1415	260	24	25	29	487	2576	163772	119	797	268	2411	513	1	79	66	4	17	0	3	49	0	0	9	13	0	0	17
G01M_8418_V__5783	28	3	0	0	0	0	0	221	12	35	103	0	6	7	9	4	0	0	28	136	13	1	0	0	4	1	0	0	1	6	3	41	0	0	1	21	12	2	1	27	5	1	157	4	0	68	30	27	8	40	0	6	0	1	10	26	0	1	13	6	26	4	49	0	18	12	0	20	8	14	12	9	4	11	16	10	0	0	8	3	480	162	12	35	0	0	5	32	101	157	8	82	0	0	2	32	16	0	20	1201412	3	6	1	5	12	1	28	20	7	2	2	0	0	1	5	0	33	444	506	27	5	64	454	15	187	300	11	1	13	78	101	28	15	26	96	1637	25	3	1	4	21	135	669	49	2	69	9	49	0	11	7	9	483	4	49	51	121	0	60	389	2	20	132
G18F_V9__4157	65	386	100	5	99	38	436	2582	38	36	83	0	4	0	210	3	0	89	515	4	1028	4226	17	22	4304	476	53	0	6258	1541	336	330	155	69	39	455	45	191	782	256	489	48	316	211	120	252	20	432	14	212	2	1922	1999	57	1342	789	241	794	20	581	59	60	2	37	12	30	43	13	35	1615	752	915	273	1905	567	150	489	299	2599	724	100	15	463	1042	36	6	16	19	2506	8868	0	15546	5	32	256	32	30	9	115	531	181	458	316	7	8341	34	423	281	350	313	227	252	505	6	174	778	134	1703	269	430	3	813	512	9	4210	1289	136	4	19	363	536898	1083	267	119	299	642	303	33	23	0	97	245	403	155	2	1885	15	433	0	111	6	14	151	67	93	231	78	2	163	127	32	122	274
VC_6_4	614	0	0	0	0	0	14	342	0	280	216	1	0	0	0	35	593	0	0	2	0	0	0	1	0	0	0	5971	2	0	2	0	670	62	435	2	1	2215	9	1	3	3	0	1	0	3	0	0	0	0	74	0	0	4	0	12	2	0	49	1161451	3566	183	0	0	0	2	0	0	41660	163818	0	0	8	396	3	0	3	52766	43	0	6568	132988	7	36	4	0	0	0	4	6	19	0	37	700	5	1585	8086129	4	0	18	150	22	0	1039	0	0	0	0	110	0	0	0	0	0	0	130	0	16	10	1	0	6	0	2	0	14	1633	0	0	7	0	4670	31	525	0	1	28858	0	0	77	1124718	1184824	44	5739	155	1529	12	1875	2	554	4485	39	2	0	0	0	0	0	0	2	0	0	13
G01M_8399_V__2589	84	0	3	8	0	0	0	0	0	17547	9002	0	0	0	0	458	231	0	211	0	1038	0	4	0	8	10	0	20	73	14	0	20	0	26	4	92	61	85	716	49	4	1	3	1	75	2033	4957	470	0	749	6	0	0	0	0	1	0	4226	0	24	90	0	0	0	56	37	0	88	13	174	6	4	0	202	1121	1276	27	99	0	53	46	8	0	6	0	0	0	79	1301	581	0	55	0	4622	0	100	338977	0	0	434	191	40	1	335	0	3	0	675	1	0	5	0	8	0	11	2	0	1	0	0	0	0	0	2593	12	0	2	0	0	0	14	765	695	1145	39	339	19	19	9	2	45	127	77	108	0	145	10	457	4	63	5	2	0	0	0	0	0	0	0	26	0	0	11
AZJ1_V__2768	16	6896	8	18	7	98	169	0	211	5	6	0	30	91	4	7	100	913	11270827	20544	28	1	2141	11666	37	171	1910	262	1527	1838	1	5521	0	2	1	9	4	4	33	26	452	1178	282	214	5	21	19	20	2168	14	0	3004	347	2	109	10	52	12329	9567	18	0	0	2	0	34	4	2	0	0	185	137	95	367	72932	16	5	0	10	0	6	0	1	3130	20	69	7	30	24	1340	1728	26111	1572	359	0	3	129	18	0	415	50	77	97	8	0	702	56	1	1594	11	5	2	11	16	88603	225	374	5164	5440	13722	108	355	1744	2067	455	13	21	31	9	1308	4	7523	415	99	16	48	3393	16	36	12	2	8	11896	278	840	28	44	815	2294	84	185	8	362	35	165	81	91	1523	8748	429	9	299	16	139
VC_29_0	47764	0	6332800	52324	18	0	23983	0	34	312622	2737667	6085075	6	314	40	50	4	33	7577	6	2	1	0	0	1	10	10	3716011	17	3	26	9	223	2	4	835	1	595	594	6	0	25	2879	0	75	82	18	139	0	4	10629	45	2	6	0	183	36	1888	316	6277044	1305	138	0	0	6	6	4	19	24	4	16	2	264	529281	297	53	8	1587	619	2	3262363	1431332	2	11730	261	98568	655482	5872207	27	74	69	4	38	37703	4	59	1843156	1119	1	48	418	3	2	320	0	0	28	11	41	6	0	0	3	1	8	0	0	22	22	0	16	140	628	584	583	11233	749	17308444	43	720	422	1238	7243075	5782151	27	2277	23	2606	2855	28447	134313	2770	14	263869	20	74	13	25617	12	1222004	26843	241	43	0	18	0	0	0	0	0	0	0	0
AWG0_V__6047	6368219	0	32320	14	0	0	3	0	0	18	49	0	0	0	0	14	0	0	0	0	29	0	1	4	0	0	4	0	0	0	0	14	0	0	0	3	2	7857	22387	13	32	1721	0	12	0	0	2	14	0	1469	272211	0	0	48	12	0	0	3	8	69088	456405	20289	6	12	4521	13399	21	368	6989	15427	0	0	38	48	1	0	0	209847	1	0	0	0	6	48	0	0	6	0	9	0	0	0	17	372	0	26	27164	0	0	4423	179006	119	0	80	0	0	0	0	0	0	0	1	0	0	0	3481	6	287	414	0	2	0	0	0	8	8	1	0	0	0	0	1	6	45	4	22	44399	1	0	0	6	16	59	1629	0	38	0	127	0	35036	0	223	0	0	0	0	0	0	0	11	0	0	26
VC_149_1	9	0	3	0	0	0	0	0	0	16	12	0	6	3	10	5	0	0	16	0	1207	0	0	0	28	0	10	2	64	162	154	374	39	75	4813	370	77	73	0	8	0	2	0	0	18	937	464	1	2	13	0	5	2	0	0	0	0	9	0	39	52	0	0	0	13	53	0	3	42	779	21	426	0	209	52	8	0	171	0	1	85	560	0	2	0	0	0	2592	298	770	694	22659	0	9	0	380	61	12	0	1220201	158	403	2	39	3052	10	0	6453	0	0	9	0	0	0	0	110	0	4	18	0	0	0	15	83	0	15	1	17	0	0	6	56	93	40	40	704	45	4	6	12	167	129	124	57	0	9629	2	70	1	56	0	2	0	0	0	0	0	0	0	554	0	0	0
BAW1_V__3750	52	0	4537	717	0	4	26	0	0	9162	110162	7012	11	15	5	319115	25194	0	478	5	29	33	1	0	9	0	47	3806	0	5	2	86	472	1	3	487	437	4822	11	0	2915	18	21	1	55	59	33	0	0	30	37	0	2	8	30	34	2	0	4	34	4629171	1124	26	84	321	29461	0	740	5163	7622	20	2	32	388	658	193	0	832	654	18	646	38	0	0	0	0	0	4	3945	599	24783	15	0	32	0	1775	1118	0	2	159	5	21	0	0	6	2	0	18	0	0	0	0	2823	7	0	0	0	24	8	2	0	0	33	22	1	0	1	0	0	6	31	5	2591	3162	8	6	6	148420	114061	4	85	73	60	2409	0	321	0	188	0	4041	50	1	26	0	0	10	0	0	0	27	1	0	5
VC_520_4	133	547416	308	1308	782	370	981	2392	992309	82348	342	370	6496	18298	242253	18268	36	5717	43330	12872	13	337	73	116	10398	4577	110	0	200	138	5251	44965	21	105	74	1695	65	2341	4594	640	814	245	192963	530	327	3274	246	2518	3182	434	2120	221853	18401	7404	8164	37253	3039	993	448177	2191	772	960	45	1988	27	217	154	879	296	37	653	350	6321	121	393	721	486	3293	546146	66	27375	61	2001	2013	1476	2	5	27558	835	8427	20	7050	8168	3398	204	6789	544	7305	766	2170	7	5	145	2598	201	24	1480	70	290	7659	70689	244	1819	5909	158559	0	7	3025	1084	48	21	248	1858	545	124	893	240	0	42	701	136	24	4	306	9	203	0	24	18	0	4	4	8	66	0	7	0	2	2	0	0	2	66	23	0	84	98	2	84	7	26	302	31
VC_6_3	22170	0	393	3	2	0	33	16	0	669	788	2743	0	0	0	228	3733	0	4	2	19	0	0	0	0	0	0	22710	0	0	0	2	19519	2693	14274	2	20	2854	1006	0	24	27	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	88	5033	258	1	1	0	0	0	0	11	1034699	3	0	35	185	0	0	0	1254927	3	0	2030	954	0	12	0	0	3	27	4	4	9	0	13	39	14	0	2595	4	4	0	3930	1116	0	512	0	0	40	0	10	9	8	8	0	0	11	0	2	0	0	0	1	21	123	77	14	66	4	9478	2	4	10	166626	98	109	0	11	11788708	3	0	606	128453	96486	23	413	36	149	10	43199	8	37	2174	419	13	0	14	0	8	0	16	8	0	16	50
BAD2_V__2729	51439	50	2755	21187	0	0	6	0	0	1764	12222	221	0	0	0	7899	278	0	2	10	0	10	0	8	2	0	0	2922	0	0	0	12	0	0	4	3	0	6889146	7032719	1173	14542	196	2	2	0	2	0	4	0	0	782	0	0	0	0	0	0	0	0	12	50769	2116	0	3	2256	6492	0	0	3685	41885	0	0	2	7336	2	0	0	102879	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	2	2	0	258	0	0	0	0	0	2	18165	0	0	14	0	2	0	0	0	0	0	0	44522	39	7416	15940	13	0	0	14	0	10	72	16	2	0	0	38	38	30	94	1166	114	30	2505	2218	1961	918	2978	0	49	0	2	0	2715	5	286	2631	2	5	1	0	0	0	0	30	3	0	18	12
VC_149_9	49	4	4	0	0	0	0	19	0	9	76	0	0	14	4	257	188	0	159	0	17	0	0	0	73	8	137	39	8	337	45	336	8	31	463	48	33	396	1	282	0	9	4	4	33	69	10	474	2	85	2	23	7	0	0	8	0	541	0	109	41	0	0	0	1	6	0	0	2	345319	349	349	12	911	167	377	0	86	0	3	89	4	0	0	0	2	0	210	657	875	2	370	0	2	0	1106	303	2	0	89	145	130	11	260	260	15	5	17374	0	16	16	8	37	0	0	16	2	16	4	0	0	0	0	74	7	0	4	13	0	0	181	1294	1245	396	138	336	47	38	8	0	971	843	34	1431	0	354	5	861	2	1458	1	2	0	0	0	0	0	0	0	4	0	0	29
AZV1_V__3700	95	123	0	3	12	42	18	0	28	29	244	0	1222	143	79	248	122	29	45	6	431	11	1444629	585674	1492	3114	64	0	803	215	2473	36129	6	7	22	1522	207	8	2	50289	69	4277	19	12	119	196	53	5	126	62	35	6085	3067	41	3232	169	67	291	5	9	99	244	9	321	4164	717	2	405	1683	174	2952	459	251	252	386	225	1135	55	63	1044	54	173	62	288	455	5	15	638	7567	5335	13	4770	0	53	60	6374	31	6	4	1393	266	451	127	6	6069	1376	175	4069	202	296	121	245	761	1	195	865	10	142	107	20	0	2	42	85	24	40	102	0	0	8	1980	3372	3399	507	904	13153	157	12	12	21	1022	1037	166	40	2	43	42	165	0	49	4	94	6	0	0	0	58	0	0	241	0	15	2
VC_117_8	58	0	12	0	0	1	3	33	2	200	216	0	26	14	21	626	6	0	2	0	14	8	3	0	202	10	4	0	0	0	2	9	6	44	40	3	46	201	9	0	35	0	0	6	19	745	63	34	1	493	0	0	0	5	0	9	0	314	0	74	210	0	0	0	79	35	41	1036	117	189	795	37	1	975	2105	1449	0	1	3	267	189	279	2	27	0	5	212	2	44	73	123	0	6	1	0	1068	11	8	0	1	22	22	0	4	0	0	32	37	1	2	0	2	0	9	1	0	17	484	171	24	0	25	406	0	8	56	60	4	4	9	28	35	147	164	22	43	204	20	0	276	462	858	132	690792	15	102	143	1260	19	2738716	62	712	16	5	35	2	33	0	10	19	0	8	56
VC_378_4	1072	4	330	0	0	0	2	93	10	8370	6126	761	0	4	0	46	14	0	143	0	185	504	16	1	0	0	0	0	0	0	8	9	0	0	0	10006	6501	214	454	4	238	6	1	6	1658	2391	5	2564	1	328	10	0	0	1	0	10	0	17099	5	1801	5349	0	0	2	164	334	11407	17939	159	285	52	1	0	502	7257	3637	0	475	28	26	18	11	6	11	0	629	3857	455	3076	3595	25744	0	0	106	0	4070	72	100	0	58	269	1182	12	2	16	7	41	447	31	43	6	17	0	3	14	106	11	940	170	6	43	11	255	6	37	230	60	0	2	35	76	3557	3860	1555	920	2387	11035	80	199	990	3780	6245	2847	767	60	1720	287	16205	123	941	362	1491783	0	0	3	46	194	2	49	28	3	3	264
BAW1_V__3764	878	16	2359	21	2	0	0	0	8	281	940	0	0	0	6	1638	198	0	2	0	380	0	0	0	21	65	2	212	29	6	73	35	0	1	0	3163	700	404	131	22	0	0	1	0	161	405	1	705	2	518	190	76	115	4	1	85	8	1717	1	0	371672	84	0	2	12	36	0	0	2	125	27	2783	5	182	666	11	3	174	13	12	59	1364	0	0	5	0	1	8	308	434	0	30	0	26	0	251	1080	0	0	137542	654	602	0	1	3	110	0	5	0	0	1	0	7078	0	3	1135	734	1240	1584	1118	0	0	0	7	24	7	21638	0	0	1	42	936	2668	1630	7	418	279	81	62	0	204	144	19	819	2	64	4	46	0	2495	0	19	2	2	0	0	0	0	0	43	0	0	0
BAX1_V__456	31	1	2	4	0	17	12	0	5	10	48	9	0	8	5	80	28	12	1	10	1	28	1	6	15	5	4	0	1	5	1	20	1	8	13	17	19	1340	251	2	20	3	10	15	53	150	17	11	2	6101	83	2	2	14	1	118	40	103	1	13	37	107	1	148	31246	2844	63	7287	131185	26	121	48	84	1029	41242	15283	16	2	45	201	12	24	36	112	258	0	38	28	47	44	112	0	0	2	67	188829	7	2	1	1	21	64	85	4	12	158	121	6	91	123	65	100	20	0	108	0	3	64	16	0	0	13	5	1	1	8	15	0	1	0	32	7817	3674	8918	6	251	3685	7	0	20	3438	7462	16	184	8	20	16	173	8	1027	2	0	0	0	0	0	0	0	0	0	0	0	6
VC_38_3	47	29	0	0	0	0	1	0	0	58	827	5	158	19	5	205	61	1	216	3	279	0	992	629	55591	11930	0	0	34844	4384	4827	1623	10	5	18	4227	196	21	339	3527	13	1921	0	0	172	3599	266	53	188	83	21	1171	380	0	294	0	14	280	0	157	35	0	2	4	258	196	0	24	77	1684	2362372	238067	199	2098	145	111	317	373	0	538	7	145	1	2	0	4	26	169	10391	12888	18	6541	0	4957	6	3190	21	9	7	1241	261	1090	43	0	8402	1912	10	4661	20	34	17	28	2373	0	23	957	53	172	58	137	0	0	46	34	252	16	32	0	0	10	1853	16024	5014	2643	1965	3919	172	53	49	17	485	547	639	19	2	365	57	253	0	38	0	78	1	0	0	8	4	0	0	508	0	8	29
VC_221_2	30	0	40	0	0	0	0	635	0	9175	4526	0	0	0	0	0	0	0	51157	0	128	0	0	0	33016	15	2119	35	217	214	0	863	1101	0	0	0	0	965	0	316	0	0	0	0	0	55891	0	0	0	3	2	0	0	0	0	0	0	0	0	8	67	0	0	0	142	71	0	0	5337	179	1	0	0	7598	15393	0	0	2723	0	12	1151	0	6	0	0	0	0	1400	19555	162	5	328	0	2	0	534	7	2	12	1513	51	34632	1	6	52	0	0	8116	3	3	3	0	0	0	0	2	0	3	27	2	0	0	6	0	3	24	3	0	0	1	12	48	8	73	13	1372	10162	39	0	0	38	141	7	1779	0	12823	5	968	0	2839	147	149	0	0	0	18	0	0	0	1	0	0	25
G01M_8528_V__367	12	19	1	2	4	17	21	54	18	62	5	0	0	0	6	7	0	7	13	13	0	34	33	19	0	0	10	0	10	0	0	56	0	0	5	13	4	1	2	11	66	0	21	25	11	8	1	2	13	0	0	2	6	10	2	80	22	27	2	0	1	82	2	87	1	0	0	3	2	1	0	26	38	1	5	4	45	1	32	10	2	2	18	60	148	0	3572	2	4	74	2	4	0	2119	57432	26	5814	20	10219	0	8498	603	72752	2260	4253	0	72856	3354	126252	160908	76413	122248	14369	22	102592	0	149	5118	1724	155	5	113	465	146	105	1082	289	3	66	141	564	8	10	2	6	45	1	22	0	2	8	14	9	81	2	29	0	0	0	0	0	6	22	60	20	40	30	12	195	25	13	201	189
G21F_7947_V5__5490	7	0	0	0	0	0	0	0	0	40	194	0	9	4	0	2247	0	0	0	0	0	0	40	11	0	1	292	0	0	1	94	47	0	1	0	7	6	0	0	2	2	0	0	0	0	25	0	39	0	11	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	44	0	4217	0	2	6	4	0	0	6	1	33	89	0	0	0	0	0	1	540	186	0	878	0	3	0	20	17	0	0	44	23	40	0	0	121	2	0	138	0	0	0	0	0	0	0	2	0	0	2	0	0	4	0	0	5	4	0	61	0	0	0	38	44	52	14578	401236	12	0	0	0	0	3	37	24	0	2	0	40	0	125	0	0	0	0	0	0	0	0	0	799	0	395	0
VC_149_8	36	0	0	0	0	0	1	0	0	61	514	0	8	27	2	14	26	0	36	0	6	1	0	0	617	16	116	11	101	6	45	221	23	18	80	17	8	138	0	0	105	0	0	0	69	55	74	6	3	5	0	0	3	0	13	2	1	382	0	1	15	0	4	0	11	19	0	0	2	88	25	8147	0	401	159	534	0	60	6	0	96	27	0	0	0	142	172	170981	96	205	5	64	19	5	0	109	39	301	0	752	145	370	2	277	237	651	0	142	0	1	0	0	2	0	0	1	0	5	1	0	0	0	0	86	0	14	5	16	0	0	6	360	498	108	42	7759	19	4	8	5	580	232	8	718	0	2714	11	74	0	27	0	14	0	0	0	0	0	2	5	5	0	105	0
G23J7928V2__426	5	16	3	101	0	13	8	0	3	2	357	0	2	131	0	1024	34	0	66	0	473	0	0	0	5	84	45	0	22	2	322	414	27	241	69	1072	237	305	620	117	1	0	0	3	9771	1998	4923	2	0	61	0	16	0	0	0	0	0	865	11	14	21	0	0	2	59	29	0	2	755	65	1148	125	13	22	14	1	16	0	9	2	713	1156	6	0	0	112	1503	53	43	1254	0	314	0	6	0	97	0	0	0	335	619	84	1	9	269	75	0	1919	0	0	0	0	4	14	0	12	4	58	25	124	0	13	0	479	17	130	111	0	0	6	1	15	237	12	42	1978	28	1330	32971	2	46	71	297	6	0	2	1328	36	194	0	0	18	0	0	0	0	0	0	0	2	0	222	0
VC_117_6	745	26265	576	43	39708	2	63882	34	628	4100	5423	18	175	5570	18	1430	3367	840	7988	34385	110	177135	26791	40741	7982	3612	67631	0	64231	41626	265	2331	370	196698	24817	49	10690	109	0	163854	158003	18924	20878	53480	1208	123535	8186	141	2822	24051	73	6687	557	9295	415	239	161076	6084	1219	1510	4124	0	27	0	155	323	43482	84028	425	2645	7688	1323	297	753	234407	178689	3910	33	150	8970	19014	2441	79190	13	0	150	4496	87	263	2489	6512	0	640951	15	105840	219	5	1	1577	617	339	60	0	26	60	38	1959	215	1	10	52	61	908	85	1972	8	1630	23339	266	6	83	270	5108	9	3609	13321	772	5	156	27	33626	49	187	283	258	804	3468	1806	17	28851	1979	7903	537	370	144	1962	8894	22883	1367	728	1338	442	2615	4346	53	149	202	16325	5025	43	12	25598	159
BAW0_V__4760	1498	0	119	5	0	0	0	5197	0	1054	2009	76	336	332	17	9415	10006	0	53	0	0	6	4	0	0	0	2	115	0	0	1	2	373	2240	1728	8	62	69749	130	2	78	4	0	0	222	4297	21	63	0	1221	31	0	0	0	0	12	6	110	38	1223929	936	0	0	2	283	22	18	489	28	1058	563	18	34	698	1889	1724	0	132	74	4	104	370	0	0	0	4	95	2	26	0	43	0	0	6	0	4194	4398	0	0	1	532	14	0	83	0	4	0	0	4	0	0	2	0	0	8	0	12	6	3	1	0	6	24	2	3	25	6	0	0	3	0	1156	1396	3876	17	82	684441	652	19	137	97002	109181	1993	206620	38	1928	28	453	99	4438	30	208	1	0	0	0	52	0	1	2	0	6	4
G18F_V11__11	3	77	0	0	15	6	39	1207	96	15	0	0	7	0	24	0	2	6	12	224	4	8	49	12	0	1	29	0	0	4	18	13	0	1	1	14	29	2	0	15	36	2	115	192	7	22	3	158	12	2	0	22	5	5	2	68	29	17	65	1	20	3	461	0	0	0	4	10	6	2	1	5	25	22	20	2	15	0	76	40	4	0	55	97	0	2	55	3	47	126	4	138	17	65	1173	82	239	22	649	24	119	24	1337	13	516	0	1618	375	2045	2549	1530	2016	310	44	1868	0	42	188664	27157	2893	12	5093	81021	628	691	8402	226	1	45	10227	463	28	0	20	0	84	13	6	4	0	1	6	3	21	4	1	10	5	0	0	7	18	448	117	132	139	237	7	263	7	23	56	4578
VC_39_3	136	309507	2419	824	733	12288	12148	56957	159729	248014	635	795	9715	23830	129639	3855	15	2237	148147	2163	3	280	52	43	27683	13012	31	0	154	8	522	7392	29	30	49	2173	103	1132	1248	3430	629	17987	84647	458	9558	1210	146	170924	899	190	614	89462	5726	3151	2643	15312	1500	43573	57089	852	222	1164	3366	86510	26	109	6298	252	170	6074	445	16903	513555	62	3785	2683	6144	1034	358338	798	5609	529	11141	21993	3599	4	3	3711	1291	24454	8	1319	1110	569	133	519	60	8834	366	4070	12	2	126	7724	9	13	2594	4	208	18867	16633	207	2758	11780	46153	0	11	323	123	6	2	55	144	8	18	194	251	0	0	61	47	0	1	2	9	0	1	0	0	0	4	0	51	131	0	0	0	1	0	0	3	1	0	0	3	43	0	0	2	0	1	74	17
VC_128_4	734	52	28	2	4	5	6	0	104	44	542	0	132	100	59	1180	759	1	47	8	229	4	587	173	1723	1864	1	0	6749	193	1761	286	0	5	0	1001	1231	64	52	86157	10	458	16	1	271	2693	551	2	47	52	89	684	350	2	457	35	14	365	38	85	950	57	3	61	16271	2325	3	1415	5603	356	447	630	50	836	819	449	4304	667	92	648	44	45	3	47	94	0	10	108	71733	52336	14	1962	1	129	202	20736	227	7	97	2708	2295	4087	277	51	1994	5676	329	1687	328	475	200	380	792	2	260	209	6	29	57	11	0	14	24	23	13	25	331	0	0	4	907	16868	27735	4606	6077	31745	474	128	56	4	1748	3010	1383	166	1	81	13	487	0	360	0	107	1	0	0	0	0	1	0	36	0	19	0
AWG0_V__5485	2740982	1	33	0	3	2	6	70	0	1063	1205	12	0	10	0	245	4	0	25	12	10	8	8	0	0	2	0	5	2	2	2	1170	16	38	166	18	190	36	0	4	7	1	10	3	52	2841	930	42	0	459	2	0	0	26	0	8	6	578	1	134	350	0	38	24	67	26	736	1616	318	268	4472	244	6	137	13279	7619	22	37	0	4	274	163	3	0	0	15	1192	18	190	17	32	0	0	0	0	119	1	0	4	41	320	137	0	8	16	0	8	25	0	0	2	1	0	4	5	58	2	62	25	4	2	10	20	0	11	39	12	0	8	4	1	32	379	759	32	284	630	4	0	19	429	1960	137662	110	39	121	320	2937	94	147	38	3	17	1	40	61	0	0	2	21	0	0	67
VC_38_1	45	6	1	2	1	0	1	0	0	74	487	11	73	18	7	51	17	2	246	0	26	1	92	51	43619	8167	0	0	66405	8865	418	99	0	0	0	5966	111	27	543	583	0	188	2	0	327	7558	213	75	6	104	60	264	168	3	164	25	0	326	0	167	36	4	0	2	81	98	0	50	22	508	117793	11682	20	2462	299	112	395	482	10	421	10	38	0	9	3	10	10	10	33637	11948	116	987	1	3347	160	816	24	1	30	276	154	460	154	3	820	1557	161	1358	175	234	187	204	802	2	158	701	6	80	18	17	0	10	43	24	55	151	74	0	1	16	1774	32856	2121	1333	989	1491	120	55	54	11	353	311	605	33	0	423	37	198	2	43	2	3	0	0	0	0	0	2	0	151	0	0	15
BBN1_V__3902	20	0	17	0	0	0	2	0	0	127	220	0	0	0	2	15	8	0	154	0	4	0	0	0	5	5	0	0	4	0	1	2608	0	1	1	19	129	0	0	188	0	0	0	0	100	19350	5	6	0	3336	32	0	0	0	0	0	0	80	0	117	118	0	1	0	186	25	5	3692	555	246	13	1	0	45	3265	2550	0	36	0	120	24967	2263	0	2	0	99	310	118	107	0	0	0	0	0	0	33	8	0	12	367	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	5	0	4	0	0	0	0	0	0	159	10	14	169	68	256	0	0	7	53	284	40	42	2	66	498	403	67	166	37	235	1	0	0	0	0	0	0	0	0	0	13
BAY6_V__2583	258	28	13	0	1	4	4	40	0	111	624	2	49	99	12	426	52	10	178	2	481	0	423	222	113808	29454	3	9	14630	2641	842	1058	6	7	29	4596	946	56	357	641	28	1178	0	3	308	2218	345	80	73	387	28	352	130	6	218	43	4	4282	0	115	79	28	2	67	94	347	0	23	86	2355	385166	63004	69	1098	377	330	134	271	6	470	133	28	3	57	66	14	29	397	3954	5612	2	23322	6	1302	1	1978	238	4	3	11616	442	1238	2	2	11593	626	9	2719	14	13	1	5	2172	0	8	319	12	63	13	28	4	6	19	95	50	89	25	0	2	6	1415	5045	3917	955	651	2274	179	80	53	21	677	1639	640	244	3	661	212	933	0	126	0	8	1	4	0	8	38	4	0	490	0	0	183
VC_117_5	644	0	373	0	0	0	1	10	0	3412	5635	7	0	0	0	576	225	0	0	3	52	7	0	0	0	0	0	0	2	0	4	20	9	175	54	32	3197	50	0	0	2	0	0	0	1251	107338	71	37	0	17923	21	0	0	1	0	24	0	5173	0	1681	3501	0	0	0	222	527	46	103258	277	3139	1103	104	2	564	204234	155485	26	38	0	479	19445	3026	6	0	0	72	1706	55	8	8	4	0	4	0	24	199	1	2	0	98	272	55	2	45	0	0	0	3	15	0	0	0	0	0	0	0	0	1	21	0	2	16	57	0	6	76	11	4	0	2	22	14	97	162	255	484	3040	27	18	192	1939	6056	425	312	42	1996	7850	19577	1069	905	1582	13	0	0	32	122	0	0	4	28	0	1	62
