"","V1","V2"
"Votu-1",0.086632294782483,0.10322833729352
"Votu-2",0.0434235790558011,0.044034170902407
"Votu-3",0.0380969905485602,0.0373571408487324
"Votu-4",0.0285572248200762,0.0461343967011098
"Votu-5",-0.18088406338817,-0.0483388844201235
"Votu-6",-0.0557512314908444,-0.00796073721076804
"Votu-7",0.059762939716966,0.0767010224960596
"Votu-8",0.0471768995218059,0.0518338539824297
"Votu-9",0.053635642313683,0.0653972293316164
"Votu-10",0.0470399012339486,0.0336017529397589
"Votu-11",-0.00274181918671975,0.0299067605403249
"Votu-12",0.084239746616628,0.119229833617099
"Votu-13",0.0870270307005087,0.113705698564332
"Votu-14",-0.140746007609549,-0.0304898970328451
"Votu-15",0.0760088810937484,0.0967307080333483
"Votu-16",0.0545386454541187,0.0648495276962275
"Votu-17",-0.180278947676282,-0.0481030051419393
"Votu-18",0.0435669782062725,0.0506724582745924
"Votu-19",0.0548146944228436,0.0797360502533481
"Votu-20",0.0526067135125387,0.0595164082425582
"Votu-21",0.0501305890067754,0.0542907225860535
"Votu-22",NA,NA
"Votu-23",0.00988338569956897,0.0108124486828438
"Votu-24",0.0711037715863844,0.0886396913938388
"Votu-25",0.0491483793276281,0.046573979625069
"Votu-26",0.060015213304621,0.0767571956149651
"Votu-27",0.041277238558002,0.0477923166276583
"Votu-28",0.0391122915991916,0.0391383566149034
"Votu-29",0.0338600630492863,0.0379544713633672
"Votu-30",0.024714118448908,0.0283305799774227
"Votu-31",NA,NA
"Votu-32",0.0379374737447749,0.0368772618359306
"Votu-33",-0.292064875703415,-0.0939190073212349
"Votu-34",0.0461657853982207,0.0635669581741395
"Votu-35",0.0208920401680736,-0.028708086440925
"Votu-36",0.0368024961204104,0.0356702169194374
"Votu-37",0.0391122915991916,0.0391383566149034
"Votu-38",0.00440024242923079,0.0289297223651513
"Votu-39",0.0450860254207151,0.0887426374961979
"Votu-40",-0.175074535157788,-0.0435459933655139
"Votu-41",0.0421583886995725,0.0489902381504122
"Votu-42",0.054787561224839,0.0662262436973801
"Votu-43",NA,NA
"Votu-44",0.0526226645634261,0.0499946182287635
"Votu-45",0.101040603558635,0.133430644371691
"Votu-46",0.017127669544678,0.0303894595695557
"Votu-47",0.0374285971533389,0.040835828808095
"Votu-48",0.04383839598611,0.045460545987489
"Votu-49",NA,NA
"Votu-50",0.0537217559094642,0.0602892192566824
"Votu-51",0.0374704746003394,0.034532365874236
"Votu-52",0.0321841831628688,0.0322678454107244
"Votu-53",0.0649768778460456,0.0731645464908099
"Votu-54",0.0435889325629053,0.0544504618147231
"Votu-55",-0.0692266572797598,0.00350801207390018
"Votu-56",0.0822708907004061,0.116321624940849
"Votu-57",0.0273911508619805,0.0133839490310845
"Votu-58",-0.212089557791607,-0.0576565349923987
"Votu-59",0.0369732162481343,0.0468944345929564
"Votu-60",-0.440295480192402,-0.149068613127062
"Votu-61",-0.0507720048168119,-0.00559745182209766
"Votu-62",0.073151363793468,0.0895390899410676
"Votu-63",-0.287364605791089,-0.0920167978014292
"Votu-64",0.059762939716966,0.0767010224960596
"Votu-65",0.0774405276843826,-0.0879353985012224
"Votu-66",0.0175794538507259,0.0240455710216735
"Votu-67",0.0453545920613675,0.0171915930751334
"Votu-68",0.045482338618958,0.0535584086216645
"Votu-69",0.0352508247788532,0.0510612999252096
"Votu-70",-0.0629080267136585,0.00276151371443613
"Votu-71",0.206422856696899,-0.430199199736928
"Votu-72",0.0168136942170755,0.0311717310135103
"Votu-73",0.0599421987503779,0.0768208028782657
"Votu-74",0.0451754348376547,0.052503175150947
"Votu-75",0.0365721077067291,0.0355970414706392
"Votu-76",0.10577141128321,0.121913051971373
"Votu-77",0.0779948288662187,0.110355623640632
"Votu-78",-0.0284887245751833,0.0161361396607573
"Votu-79",0.10215891329667,0.136736677671634
"Votu-80",-0.280746605676144,-0.138379299785396
"Votu-81",-0.450443663930817,-0.161480546761768
"Votu-82",0.0228198888411815,0.035401223645772
"Votu-83",0.0685543042329875,0.0859835813961027
"Votu-84",0.0224907988523304,0.0279454525178912
"Votu-85",0.0710486023590185,0.0886270119983711
"Votu-86",0.0557665826291598,0.0720687649858779
"Votu-87",-0.0215494885280448,0.00591805952441258
"Votu-88",0.0361179653978171,0.0460675459059965
"Votu-89",0.048921551243759,0.0359506761094911
"Votu-90",0.0133017425628514,0.0292267691449727
"Votu-91",0.0133737951399724,0.0205679398014257
