"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127"
"No-1",0.111036954909109,0.13702446239394,-0.10356730215696,-0.527843120103611,-0.00977336143145736,-0.266696041945952,-0.0950808432010569,0.0405708854511803,0.0970970453898243,0.130085989942237,0.0151416291214332,0.0504788073412734,0.0197630048126559,-0.0195105254035607,0.0673884828066571,0.0626857689376206,-0.0134122303043034,-0.0157681960963127,0.0240402629979085,0.00460047461609617,0.0148302326152088,0.00879053987093235,-0.00190516009233421,0.00959371483818431,-0.00957281178033283,0.0140227256258068,-0.0225611764023827,-0.00953979379937287,-0.0260179011306042,-0.0132298964385949,0.0114167138922926,0.0338822877057466,-0.0226919899940013,-0.0236011077810188,-0.0202012009452581,-0.0146073532873673,-0.0337665995426147,0.0112679699738511,-0.0522834221181905,0.0180497203734955,0.0442165242116671,0.0122032591396497,0.00488613046508311,-0.0121663526490916,0.00357559138123611,0.00276271149705002,0.00872775628900324,-0.0157456291591924,0.0164121431343007,0.00366769072301864,0.0349000421416449,0.0123414592526519,-0.00920299957839159,0.00800827547629365,-0.0202321113377656,0.0150274174299931,-0.0093376019411808,0.0154274910802959,-0.0118899369694153,-0.00553199529628326,9.50771105895525e-05,0.0174252537356256,0.00782886057552322,-0.0254211369331609,-0.0801741295802937,-0.0219846740501073,-0.0274400790563537,0.0438868872803497,-0.0172323529092926,0.0262462683508185,0.0236311935261349,-0.0227073566749857,-0.0402977500010154,0.0074042435560661,0.0612760036420159,0.0161817516578242,0.0394721779913956,0.0154421345404794,0.0115226949829333,-0.001845288576304,-0.0288319066996895,0.0154988121932441,-0.00291927647940363,0.00322675080938296,0.00416349832771736,-0.00655275121921911,0.00778679587598336,-0.0057127870346788,-0.000752347402734881,-0.00935396789950079,-0.00410909996184089,0.0226975507101736,0.00451406755829203,0.0149490886181935,0.00567232591376488,0.0155633918515963,-0.0032177430850793,-0.000387892210756605,0.00284727287207585,-0.0218363652822631,0.00130820719489682,0.00423373469940088,-0.00915458899304259,-0.00867927866084639,-0.0137382926502248,0.00387682080794368,-0.0172216697781699,-0.00681478174344107,0.0237314887270476,0.013472621368434,-0.0118173251162831,-0.0111246668436573,0.00645965524991911,0.000133690150609267,-0.000784428527417508,0.0313203738166322,0.00362377215509152,-0.00985168168335275,0.00840752729197104,0.000425564061080041,-0.0103088205035396,0.00849034972199505,0.00153218798641344,0.0193094354229784,0.00286886032477292,0.00547912061874996,0.000544784769756711
"No-2",0.0848127444757301,0.106044096580659,-0.0762414260639829,-0.363466396245951,0.00654150098299441,-0.184312489843641,-0.0663311216255617,0.0224713802653151,0.0551903186413855,0.0860777882583466,0.0163449983738381,0.0339717386043306,0.0191907966277128,-0.00174858861167748,0.0315506098310015,0.0325192624566561,0.00533936202153248,-0.0173658277665536,0.0173021500166313,0.00528876433371918,0.0127408223336543,0.0137011119190843,-0.0102846598307411,0.0195789948580718,0.0173151255819189,0.0051151466125917,-0.0077378980732407,-0.00306978998978667,-0.0191955044765875,-0.0416942470708515,-0.0161563216674717,0.0178658275331799,0.00112679717441371,-0.00221603520835604,0.0203829503124692,0.0403273248805184,-0.000790438617918973,-0.00802533229569162,0.0383262873407038,-0.0053290477972591,-0.0368552220325383,0.0153541744813216,-0.00706599531355047,0.0178100865209008,-0.00496596674334462,-0.0145680987603146,-0.0174050709782369,0.0251893762194609,-0.0395116699133098,-0.0268843047595549,-0.0197638043170172,-0.00790190165249346,0.0130412251119577,0.0387384573120461,0.0545774996619268,-0.00304783506627786,0.0401478650250855,0.000931296668891749,-0.0491679694869166,0.0226488684603145,-0.021660013549016,0.0104456425063064,-0.0133574278644187,0.0398147579892926,-0.00627487097783152,-0.0280600681839027,0.0477141693241591,-0.105401860019278,0.118535721292617,-0.16061240107954,-0.0396794720782803,0.114526038998177,0.194794556850241,-0.0412423385254087,-0.257765285831869,-0.058906018462195,-0.174144441990314,-0.0714231615831214,-0.0223184729761498,-1.12030460828597e-05,0.152036965623085,-0.0883120592943199,0.0194265335601014,-0.0142199820450818,0.0122399350487507,0.0390917946076254,-0.0234198663391514,-0.000786611421680102,0.0200979771382461,-0.018435445886764,-0.000892755938941178,0.00186502635512515,-0.00550906995780363,-0.00292960309351358,0.00340375889216367,-0.0010316744278357,0.00239710758364961,-0.00626006090679943,0.0106499595702354,0.00322658136914282,-0.000518128117375782,0.00475864595349957,-0.00908176040357342,0.00368794962976571,0.00808473291945037,-0.000309281035147829,-0.00245706055700634,0.00031353500909809,0.00023579116501561,-0.000840440079597641,-0.000760405398095814,-0.00260614700638342,0.000225444701866343,0.000606757469616331,0.000866960295959088,-0.00535902329165805,0.000296581677753375,-0.00570270978199377,1.21872461456922e-05,-8.49724445848592e-05,0.000852431317603668,-0.000136874487325134,0.000196776457829706,0.00811567585720322,0.0010907729243001,0.00330135534874042,0.000291267454359439
"No-3",0.107854834621519,0.136385829709914,-0.101064237464087,-0.53656426477549,-0.00256720264298984,-0.277468386761625,-0.0804731347592227,0.0430279871278967,0.105169348846395,0.1180894998977,0.0057441398330622,0.0509096168515581,0.0264685685486353,-0.00318936171189788,0.0760651050161616,0.0476243681052447,0.0240662294384274,-0.0161177520059317,0.0251023683253868,0.0154169329676131,0.00903038980471145,0.0249994346399091,-0.019155596724362,-0.00209683166290796,-0.0029866617434834,-0.00370793221192254,-0.0102076947397459,-0.0167697702574068,-0.00972187611515615,-0.0234566601124745,-0.0274133507899702,0.0158267664209981,-0.0150474117770633,-0.0272901574863958,-0.00575272233969297,0.0120176981340219,-0.0357044007572184,0.00518656528950418,0.00308634169827195,0.00617646807748831,0.0229034178993256,0.0014119702681928,0.0159468952129635,0.000170519074596531,0.00327386518233849,-0.00244949540821104,-0.00830360795481905,0.00125007743086773,-0.00822588397698501,-0.0100447665256146,0.0153487877949171,0.00219872993342999,-0.0179363550475232,0.0102356280172523,0.00582945129043524,0.0122492495060447,-0.00473773959674577,0.018500882082351,-0.00572252131001403,0.00388841735203116,0.000601413682682857,0.0296883498779559,0.0073975426210961,-0.0175608372582771,-0.0767867720314177,-0.0284005112296946,-0.0205834432662213,0.0101933237153754,0.0183704235703817,-0.0193065485631714,0.00743197263582192,0.000610886107867011,-0.00605690938957168,0.000570074507809281,-0.00854226214585099,-0.00202479620863156,-0.0195228510047671,-0.00362257584573819,-0.00183824767506592,-0.000573547159207333,0.0203108750436178,-0.017617536397016,0.00946779370611292,-0.00187825022970363,-0.0025912674032156,0.00200897029397876,-0.00350351011993821,0.00453891114029462,0.0193549991619085,0.00456472199336138,-0.00170985137144811,-0.00652984538809478,-0.0051196116881109,-0.00508598271095199,-0.0207162467381799,0.00816306546716732,-0.00639695245885361,0.0019293377558774,-0.0235234520913461,-0.00779606272342231,0.00723796490660491,0.00811419549805071,0.0113559869851349,0.00143818121344847,0.00744938227820583,-0.00459382010995029,0.0286405877175002,0.000657807265571756,-0.0108344373761703,-0.0313665538416219,0.00264139414741508,0.00111911627933366,0.00713164186273645,0.0107962393548872,-0.0104833693650253,0.0140605585341655,-0.00171469921734392,0.0200456130212886,-0.00374360761706831,-0.000698667121412699,0.00186295972383791,0.00102286344402055,0.00120250317080702,-0.0273245883917202,-0.00393764830286729,-0.0106934107032204,-0.000980375036423218
"No-4",-0.0170983357767869,0.0568739317590871,-0.0579836792054057,0.000891430411713619,-0.15986555840837,-0.0191500650715483,0.0235219435543466,-0.0494215544288591,-0.266376367036282,-0.406406781026686,-0.0734114651512506,-0.00179510097465657,-0.00505671980865351,-0.0742940393275322,0.302890024043978,0.127872157124445,0.0367137780128752,-0.0760999656375782,0.070313077407442,0.0243206044507936,0.074913875135786,0.0122837464363986,-0.0233247082034151,0.00588113526578243,-0.0300667361193513,-0.0507530636039464,-0.0560978632099356,-0.0159305145188161,-0.0817022604755817,-0.0708896532165701,0.0138726027114137,0.0127359808442799,-0.0249635316223866,-0.0234058333322136,-0.00392968919757767,-0.0485801622518695,-0.00823173251486279,-0.0146437586147336,-0.0102149471719364,-0.0180336620883185,0.032073538331222,0.0176211329358765,0.014515421501802,0.00409428462124221,-0.00490101700162119,-0.00739257627371178,-0.0189543437453131,0.0101714997500918,0.00818390878395991,-0.0168065367703993,-0.00396362247544686,0.0217176289135256,-0.00098721400912868,0.00329834352561356,0.0177263622226377,0.035545140700756,0.0166956683978004,0.0116528399499823,-0.00689277120077751,0.0149080389979644,-0.0174129613920619,0.00153821644510401,0.0256450439861456,-0.0279266507140764,0.033204266646701,0.00274437373918586,0.0144975132911476,-0.0431201897172618,-0.0295920616757537,0.0109374889156062,0.0423054135059885,-0.0287605768533815,0.0121662694922042,-0.000413064778452599,-0.00355034709863447,0.00471965705412856,0.000509295048304302,-0.023317652616101,-0.0110187210474189,0.00244064930072717,0.00341388245108096,-0.000408407628433966,-0.0521634299975294,0.00145188025910233,-0.0236773599187422,0.0326794753310639,-0.00507752854083888,0.0145118451206962,-0.0139663880093523,-0.0137930524309845,-0.0182003421992973,0.00783475301851821,0.00157734973754761,0.00830415185872701,-0.00136611761003045,-0.000404080944192648,-0.00275924290802366,0.00943642423126542,0.0241858452773624,0.0080685699269793,-0.00277261456082873,-0.000892770670714648,-0.0117894274184343,0.0106046479076335,0.0099860247247288,0.014275242088648,0.0333429613922218,0.00716277903401989,-0.0182215106415786,-0.00729538605374082,-0.000706262680638844,0.0173112634199557,0.0148154931189588,0.0038994489050197,0.104780625797149,0.0438567051221769,-0.00359330702226345,-0.00920141522129085,0.00391051558863367,0.0022380353037691,-0.00226163204062037,-0.00869564685393892,0.000287209351871276,-0.00264252442151969,0.00145737653169936,-0.000204360975425783,0.000207865737328853
"No-5",0.0236040463460106,0.0658464382581265,-0.0483041939511905,0.00821740116566183,-0.143632505922786,-0.0272987136389184,0.0215236523102715,-0.0417118372213074,-0.255726766072862,-0.378419813813817,-0.0585585637092006,-0.00414863039873542,-0.00556468915029807,-0.0663283380277474,0.289816605187571,0.125928855462035,0.0403271373817496,-0.0752611328931789,0.0698396897661479,0.030506002447761,0.0837979625504994,0.023252356139499,-0.0341865054405086,-0.00314030820237215,-0.0372957049555911,-0.0622073570413411,-0.0312633969814151,-0.016035305305366,-0.0750341080539476,-0.0780160793493764,0.0299780396737364,0.00651222527177282,-0.0339819612170645,-0.0378712395642875,-0.00710619321381604,-0.0426455378309313,-0.0118642806126203,-0.0131547943537158,-0.0191512157748807,-0.0299464925709479,0.0531600536812045,0.0375334840363156,0.014878332822151,0.000839351840762471,0.00299649892062023,-0.0129701941723442,-0.0187110460115126,0.0215475131204814,0.00396002086825632,-0.0256416605779354,-0.00389324063745329,0.0233979516924242,5.25863171935039e-05,0.00839983151346493,0.0306173313391373,0.04373382138247,0.0177141368034925,0.0133107047503571,-0.014193088375593,0.0186665211640502,-0.0192198404912093,0.00698638075614116,0.0261307206672952,-0.0299511000088234,0.0492700218381455,-0.00197208663339719,0.0257365798236747,-0.0710935286543658,-0.050104802173623,0.0124329665228854,0.0269785137179586,-0.0385892365492359,-0.0035427240614991,-0.0126287790820552,-0.0326570910341487,0.0143301192219807,0.0186814481334529,-0.027794967241876,-0.0169745426395014,-0.00336070531358248,-0.0155636712343868,0.0049977396416562,-0.156560496702132,0.0107529536786978,-0.0700282117664202,0.0790170052867118,-0.0165653374243587,0.0429733896511571,-0.0371278307828525,-0.0735632806902321,-0.0255731016062301,-0.000832875527710046,0.00560900337212636,0.000775592150943485,-0.00407405163723001,-0.000280735120413324,-0.0109239038299596,-0.0225191487089292,-0.0484673546534215,-0.0180543575849214,0.00448308796617919,0.00712713767790569,0.00362991139759438,-0.0256671282613811,0.00553165039664697,-0.0255920648964085,-0.0318694024384428,-0.00852191317188065,0.029234316591061,-0.0017398431900659,0.00132789797179747,-0.0171001962224584,-0.00953560517227586,-0.00323455956849371,-0.0799434008847756,-0.0347609601998267,0.00133109779636601,0.0080483958776977,-0.00235890890396129,-0.00172603185204656,0.00296614364727113,0.00538927188773949,-0.000945936865404256,0.0017948271442591,-0.000986700546081845,0.000119284445373737,-0.000140091398961233
"No-6",-0.131600060781782,0.00253408511774484,-0.0576801660959378,-0.0243332530466682,-0.137511451896461,-0.000784397055852887,0.0218263376180204,-0.0745737331586361,-0.191233894264907,-0.324265614693209,-0.0762399497239169,-0.0158060140948986,-0.00289709373978997,-0.0460819845902176,0.194750199416416,0.0712786334751966,0.0104330391277611,-0.0538527372433473,0.0500352973506479,0.0155945168918266,0.026267645064166,-0.0254287654948848,0.0164210676200253,0.0385872670099408,0.0200934784831185,-0.0148880183221306,-0.136843222398134,-0.0289638459386992,-0.0274043784863452,-0.0430169099091908,-0.0287111210990573,0.0402040938917078,0.0308607848658165,-0.00821165852009167,-0.0380697252197445,-0.0412710731813294,0.0272123625645643,0.00180083134911033,-0.0143226588608039,0.000583296292679663,-0.0144486116793932,-0.0202174544755801,0.00850794443230671,0.00313125200630697,-3.73769459440032e-05,0.00943406618480559,-0.00130554568551614,-0.0123250507584685,-0.00543133923438761,-0.00209138009937517,-0.000974917610758743,0.0270380309000685,-0.0117023823612451,0.0162699541938381,-0.00363577305370304,0.0242724665815584,0.0202426707781792,0.0123474292395469,0.0235353569483619,0.0112116053728306,-0.0111771780356997,-0.0420579115050647,0.00235434986328615,-0.000301308797467578,0.010769142664127,0.0262058327095164,-0.0087002931154664,0.0839087067800966,-0.00367534953869232,-0.0178280961890731,0.156191612347293,0.0572549373338478,0.0586109154595738,0.0204801421743649,0.0540468066826294,-0.0258498937021047,-0.0299736403788173,0.0213951083115224,0.0284821416576801,0.0141592978574669,0.0411542437100518,-0.0108296937323981,0.260317181260059,0.00231408382264136,0.117668887583373,-0.104939085894766,0.0311185446041557,-0.0844624004609257,0.0585058900589776,0.117153087886651,0.0488651376077549,0.00788357891213587,-0.0128140573826591,-0.00907439216756917,0.00563702952102563,0.00851887907944228,0.0145385994222484,0.0235287730613664,0.00129968788687939,0.00491020896616826,0.00575694473203277,0.00743421476587185,0.017908885586895,0.000235882977006042,-0.0403538502915421,0.0197881409226046,0.00924268646211494,-0.00485857793385447,-0.00557379570158036,0.0207332887566174,-0.00316140669620371,-0.00242212511286493,-0.0108495116590235,-0.00602083604534114,-0.0348134001310354,-0.00834801892702655,0.00264528243748409,-0.00212029506091229,-0.00464210691127956,-0.00067874616095457,-0.00030227770128331,0.00366737564935077,0.0012608195245699,0.000467383577269169,-0.000584863352052284,-0.00012492191382671,-9.89831453235903e-05
"Early-1",0.0585904471507535,0.0702113537760089,-0.039355745802767,-0.00215497286159159,-0.074289764883975,-0.0462506026958539,0.0217803008147759,-0.00221569258147124,-0.150946862851107,-0.161064956048797,0.019024880177992,0.0147475571429712,0.0072030909192699,0.110071802890045,-0.330290681436866,-0.106944629173555,-0.0233994827233558,0.0869687451108979,-0.00462537992600401,0.0240674483406972,-0.0605182885935351,0.0155920967427957,-0.109134520495808,-0.0321317961185193,0.00462827726880433,0.0211951082995365,0.0500645024084785,-0.00433481592116368,-0.136770358156249,-0.0268432545141495,0.0296544325443537,-0.0180074375986422,-0.00777018320565141,-0.0342174683912764,-0.0122763422918392,-0.0464269013742465,-0.0638943908748811,-0.0594461669535509,-0.0861831901736383,-0.0299283869910726,-0.0177147405707411,0.0139302372247881,0.0469701860677956,0.0296253642522675,-0.000454690760490811,-0.00192370911702997,-0.0236584691770849,0.00741557483879599,0.00802496120670848,-0.00559945404264094,-0.0123798202737406,0.0506489983253045,-0.00187397364348616,-0.0233210261345539,0.00703869742104688,0.00954253461463552,0.00193797240728396,0.0216868197371698,-0.0417833477476569,0.00289737462118727,-0.00899072395158968,0.032081140508538,0.0249663058740916,-0.0233660094039607,-0.0993412743052269,-0.0569929543252982,-0.035620506998232,0.00564201798234647,-0.0217412250218385,-0.0038902719188102,0.0777846812039271,-0.0743480043673997,-0.0846755655333752,-0.00428227572333928,0.0191719784871139,-0.25674762685864,-0.165890889614862,-0.153348758151367,-0.144072254730566,0.130685018727198,-0.0599015462029082,0.0885830576665043,0.00291867835007515,0.0304009783501656,0.0129348674715583,-0.00268796720673231,0.00178918748294806,-0.00353628038590381,-0.0679409314675595,0.0316345322631954,0.00444189238613181,0.00946677281781937,0.00619300279718051,-0.000747694167509371,0.000780413962544896,0.000225056344861618,0.000196627572593371,0.00153256177678983,0.00918683921070465,-0.00511946564103961,0.0049871428510617,-0.000753938273414437,-0.000629945839094451,-0.00808905613464545,0.00114838684722633,-0.000341953602059913,-0.000770698227993247,-0.000463924715888076,0.00173817921102138,0.00258030323026462,-0.000273146481395967,-0.000441219756563556,-0.000112743313482466,-0.000862913948616942,-0.00109549458393368,0.000347718064401254,6.55555862873746e-05,0.00010689446861694,0.000207525654829029,0.00182103734517965,0.000224118304127993,0.000315470979784461,-3.70526684035056e-05,-4.2085547622235e-05,1.92993090266704e-06,2.22124102881865e-06,-1.02020179997025e-05
"Early-2",0.0467520081861182,0.0548349970767552,-0.0311358677701856,0.0504424487571806,0.0330637414323273,0.0450584313111605,0.0110561946535657,0.0298982049631001,-0.0373768132472039,0.0328334565557692,0.085485433158589,0.157921054870499,0.135645962727442,0.00255332432067781,0.0537517173861419,-0.00703183809484354,0.0164141485056807,0.0427591808756169,-0.00748676740883058,-0.112414113664086,-0.187309105505826,-0.000392843144292264,0.193905721618441,-0.101296559866763,0.00565174152473038,0.24723860912565,-0.119698830213069,-0.232527581790684,-0.0413138828641839,-0.112594245313198,0.119376458144743,-0.17514145471042,-0.0351276489616995,-0.000774163385672238,0.0221818946606217,-0.0334296912367246,0.0287645535107716,-0.0252425261338766,0.00970458200124961,-0.0189201457045962,-0.00322043764007949,0.0167775458953978,0.0136547879845001,-0.0268302053312295,0.0167621051790758,0.00202176314235217,0.0104062265232091,-0.00589451668305549,-0.00592684188096261,-0.00244018334459613,-0.0185195634310544,-0.0192583309181881,-0.00456131584717586,0.00451501315823866,-0.012660240961604,-0.0110659377390035,0.00606805946257296,0.000923568468398623,0.012426252792814,0.00785027713061944,-0.0205138078341416,-0.0123109872815931,-0.00172968074465601,-0.00112714137022177,-0.0131126249796274,0.0210472280400157,-0.0180695546301212,-0.0308201225453961,0.00649637173211541,-0.010976580962865,0.02902950539488,0.00282097002253796,-0.0275534728066109,-0.00959838905064736,-0.00455471660028711,0.013815015884844,0.029026071851115,-0.0259488380601319,-0.0293614966083739,-0.0492449490659629,0.0148932741799141,0.0192513062228955,-0.116556356692329,-0.185155352162112,0.240911546070072,-0.0164026210444819,-0.0147505216696521,0.00427584630747078,-0.0300023739358433,0.0196122943664904,-0.0602766217116553,-0.0185818698109341,-0.0305999934549155,-0.0268317088345686,0.00490435061179958,-0.00187462414600917,0.00521302254684816,0.00416776231449528,6.47507474239052e-06,0.00329445889553738,0.0017218363445356,0.00860231826716258,0.0117616375506069,0.00845247896551202,0.00732010821048235,-0.0065849511823233,0.00204835383598598,7.42683950427583e-05,-0.00582971657274337,0.00198699541203121,0.00566217925442556,0.000450079135173497,-0.00232282265892909,-0.00257378427889237,-0.00263774486057407,0.00236083603948838,-0.000510732332457671,-0.000450873677064767,-0.00215275963305512,-0.000172831646286166,0.00131973551935592,-0.000632103087184871,-0.00111935849971964,-0.000591145735367792,-8.229888289321e-05,5.57560787996648e-05,-1.9158402838687e-05
"Early-3",0.0412976693728552,0.0468295392306354,0.0413296659220487,0.0759643312274851,0.124747656514203,-0.134649877953512,0.476442728396773,0.0763228852948528,0.262016636020608,-0.0996059865084022,-0.04515205823525,0.0323974308873065,0.0435452426250676,0.0496474590635527,0.034600432255114,0.006549205355701,0.150062039274801,-0.00661421094726333,-0.0455232151279571,-0.0784770125714822,-0.0193214841520297,-0.0627875133115284,-0.0955467454648836,0.00900170536575066,0.0511624205128219,-0.0424626401233744,-0.0914083642073863,0.0481377342647568,0.0249713720382253,0.0548660276083691,0.0862448854192143,0.00344744291528127,-0.0208313114342646,-0.0294307231896302,0.0598014677087223,0.0121794751675831,-0.0191916575529153,0.00244129255238878,0.031927522279174,-0.0244357713034529,-0.0036398808442819,0.0257670008031754,0.0101349515994029,-0.0136867292594478,-0.0115092492747528,0.0298449254896339,0.0243093077710139,-0.0106876621712563,0.00722506044863076,0.00912940234035819,0.00366762432937011,-0.00468379721830043,0.0166586859576232,-0.002324442625159,0.000974086694603239,0.0142009510277856,0.0161414470900621,0.00990933283078687,0.00434357224261037,0.00953852682311624,0.000452135525343668,0.0139979554145411,0.0145699777886884,-0.00573255236722248,-0.0240497593199797,-0.0200319946190376,-0.0104824185599648,0.014210779366548,-0.00272417486344415,0.0341477967365329,0.0231119725409643,-0.00547992593236365,-0.0190761563725621,-0.00843403725895094,-0.0486178900013737,-0.00174796934672824,-0.013536921376244,0.0283042488219372,-0.0103628577217994,-0.0278362091565916,-0.00465414212029137,0.0491043764915377,0.0215641875335323,-0.0696135427992659,-0.0344969381402999,0.0299082694977039,-0.0220117127457623,-0.00655139750842427,-0.00127383514063092,-0.00250915559131212,0.0302797488147704,-0.00257802645573385,0.0135356745894935,0.000321775848545505,-0.00302997906018953,0.00379124676514674,0.00971250649721283,0.00181256646361281,-0.00513139358784179,0.00089982897984157,0.000855957144242237,0.00277797053046086,-0.0130290330622217,-0.00535591403096521,-0.00293210447837187,-0.00247432002255753,0.0242662498428821,0.00300059052062968,-0.0129346832728997,-0.0353855689769196,-0.0100380684588984,0.0144119607151034,-0.0335466618319264,-0.0608235912523591,-0.000210162392951292,-0.0046524004961948,0.00783890188441174,-0.0287781076414744,0.00566717584562434,0.00477261354868937,-0.0162986764825098,-0.00115940399461451,-0.00659415707280656,0.00864451846701502,0.000266830305400776,-6.73391633712194e-05,-4.61404842884602e-05
"Early-4",0.0456999290267251,0.0422504422900374,-0.0104065189280255,0.0644134292651778,0.0273431076831439,-0.0327555084639028,0.0435425288344763,-0.0114705410742073,-0.21816451320184,0.247295078292249,-0.368873392126262,0.0175807225199993,0.0135321660888349,0.0424744152983158,0.012286533899218,0.0015368440179522,0.0702139355071446,0.00794587066506359,0.00744761598017573,0.00426548680255463,-0.00558714556081894,-0.0467381122692809,-0.0889444261383514,-0.075875635779491,0.0241038413855827,-0.039046720461261,0.0190698812265586,-0.103551269665142,0.0619878242034752,-0.0805462386056146,0.159229185182746,0.135072339951329,-0.0110183566115893,0.279789060976021,-0.178556043833989,0.0269224249144085,-0.0911126929492669,-0.0105156396635094,0.0315714333509541,-0.0244256874546927,-0.0151549442150704,-7.19251973540733e-05,0.00444888396216636,-0.0171527839205592,-0.0237831741613321,-0.0154766276037348,-0.0149965209861795,-0.00068650243560946,-0.0281316559377666,0.0339742410099236,-0.00532749625020834,-0.016775464111869,-0.0153371067364143,-0.00670525058919722,0.00233546208761514,0.00129669705440464,0.00436618745453192,0.00894696367956189,-0.00475596984731228,-0.00474127035737028,0.00420568101631071,0.00820075816724855,-0.017481245379635,0.0165163269077038,0.00451410063035547,-0.000170381003616298,0.00395096853363965,-0.00082721258770939,-0.00314376114466664,0.00444020950126327,-0.00298913390697402,0.000207111037441569,-0.00821047950788046,-0.00225152456467571,4.05494500791388e-06,-0.00179411220424166,-0.000664847576600464,-0.00117662359674662,0.0033612912800899,0.00123015961523122,-0.00674884057860597,-0.00419127139942053,0.00219513065121239,-0.000271312994814263,-0.00604667518680186,-0.000543994197454839,0.00313944626284837,0.00373036285429021,-0.00344753749200098,-0.00080526595428233,0.00189034471663135,-0.00323085098045926,1.82668602447571e-05,-0.00283369391442439,-0.0013247636529161,0.00172987270636839,-2.93923912733478e-05,-0.000776241323989403,-0.00115681088281695,0.00107688499316821,-0.000298259285030272,-0.00164392161480992,-0.000485455862823307,0.010590530004549,-0.00204057059348222,-0.00767019278642529,-0.0257508020542076,-0.149445232258225,-0.0503944280425585,-0.00825033453358045,0.0028557171544334,-0.00248789331068388,0.00416371339269871,0.00117357503246494,0.00111899346619497,0.00197850007700534,-0.00146826348596095,-0.0064895892667489,-0.00157439453745461,0.00047291743238915,0.000247737100951883,-0.00247007686390061,-0.000797520508126799,-0.00071309576666363,0.000175695146566433,-2.69722455082972e-05,-7.64654383593508e-06
